"Question","Options","Correct Answer","Explanation"
"What is one difference between the client-server and peer-to-peer network models?","A) Only in the client-server model can file transfers occur, B) Every device in a peer-to-peer network can function as a client or a server, C) A peer-to-peer network transfers data faster than a transfer using a client-server network, D) A data transfer that uses a device serving in a client role requires that a dedicated server be present","B","Every device in a peer-to-peer network can function as a client or a server. File transfers can occur using both the client-server model and the peer-to-peer model."
"What is the function of the HTTP GET message?","A) to request an HTML page from a web server, B) to send error information from a web server to a web client, C) to upload content to a web server from a web client, D) to retrieve client email from an email server using TCP port 110","A","The HTTP GET message is used by clients to request data from the web server."
"Which networking model is being used when an author uploads one chapter document to a file server of a book publisher?","A) peer-to-peer, B) master-slave, C) client/server, D) point-to-point","C","In the client/server network model, a network device assumes the role of server to provide services such as file transfer and storage."
"What network service resolves the URL entered on a PC to the IP address of the destination server?","A) DNS, B) DHCP, C) FTP, D) SNMP","A","DNS (Domain Name System) resolves the URL entered on a PC to the IP address of the destination server."
"Which firewall feature is used to ensure that packets coming into a network are legitimate responses to requests initiated from internal hosts?","A) stateful packet inspection, B) URL filtering, C) application filtering, D) packet filtering","A","Stateful packet inspection checks that incoming packets are legitimate responses to requests originating from hosts inside the network."
"What is one indication that a Windows computer did not receive an IPv4 address from a DHCP server?","A) The computer cannot ping 127.0.0.1, B) Windows displays a DHCP timeout message, C) The computer receives an IP address that starts with 169.254, D) The computer cannot ping other devices on the same network with IP addresses in the 169.254.0.0/16 range","C","When a Windows PC cannot communicate with a DHCP server, it automatically assigns an IP address in the 169.254.0.0/16 range."
"Which command can an administrator issue on a Cisco router to send debug messages to the vty lines?","A) terminal monitor, B) logging console, C) logging buffered, D) logging synchronous","A","Sending debug messages to the terminal lines on a Cisco router requires the 'terminal monitor' command."
"During data communications, a host may need to send a single message to a specific group of destination hosts simultaneously. This message is in the form of a ________ message.","","Multicast","Multicast communication involves sending a message to a specific group of destination hosts simultaneously."
"What is the purpose of having a converged network?","A) to provide high speed connectivity to all end devices, B) to make sure that all types of data packets will be treated equally, C) to achieve fault tolerance and high availability of data network infrastructure devices, D) to reduce the cost of deploying and maintaining the communication infrastructure","D","A converged network reduces the costs associated with providing and maintaining the communication network infrastructure by consolidating disparate networks onto one platform."
"What characteristic of a network enables it to quickly grow to support new users and applications without impacting the performance of the service being delivered to existing users?","A) reliability, B) scalability, C) quality of service, D) accessibility","B","Scalability is the characteristic of a network that enables it to quickly grow to support new users and applications without impacting the performance of existing users and services."
"After several configuration changes are made to a router, the copy running-configuration startup-configuration command is issued. Where will the changes be stored?","A) flash, B) ROM, C) NVRAM, D) RAM, E) the configuration register, F) a TFTP server","C","When the 'copy running-configuration startup-configuration' command is issued on a router, the changes are stored in NVRAM."
"What is a characteristic of UTP cabling?","A) cancellation, B) cladding, C) immunity to electrical hazards, D) woven copper braid or metallic foil","A","Cancellation is a property of UTP cabling where two wires are located adjacent to one another so each magnetic field cancels out the adjacent magnetic field."
"What are two characteristics of fiber-optic cable? (Choose two.)","A) It is not affected by EMI or RFI, B) Each pair of cables is wrapped in metallic foil, C) It combines the technique of cancellation, shielding, and twisting to protect data, D) It typically contains 4 pairs of fiber-optic wires, E) It is more expensive than UTP cabling is","A,E","Fiber-optic cabling supports higher bandwidth than UTP for longer distances and is immune to EMI and RFI, but costs more, requires more skill to install, and requires more safety precautions."
"What is a characteristic of the LLC sublayer?","A) It provides the logical addressing required that identifies the device, B) It provides delimitation of data according to the physical signaling requirements of the medium, C) It places information in the frame allowing multiple Layer 3 protocols to use the same network interface and media, D) It defines software processes that provide services to the physical layer","C","The Logical Link Control (LLC) defines the software processes that provide services to the network layer protocols and allows multiple Layer 3 protocols to utilize the same network interface and media."
"A network team is comparing physical WAN topologies for connecting remote sites to a headquarters building. Which topology provides high availability and connects some, but not all, remote sites?","A) mesh, B) partial mesh, C) hub and spoke, D) point-to-point","B","Partial mesh topologies provide high availability by interconnecting multiple remote sites, but do not require a connection between all remote sites."
"What method is used to manage contention-based access on a wireless network?","A) CSMA/CD, B) priority ordering, C) CSMA/CA, D) token passing","C","Carrier sense multiple access with collision avoidance (CSMA/CA) is used with wireless networking technology to mediate media contention."
"What are the three primary functions provided by Layer 2 data encapsulation? (Choose three.)","A) error correction through a collision detection method, B) session control using port numbers, C) data link layer addressing, D) placement and removal of frames from the media, E) detection of errors through CRC calculations, F) delimiting groups of bits into frames, G) conversion of bits into data signals","C,E,F","Layer 2 data encapsulation involves delimiting groups of bits into frames, adding data link layer addressing, and calculating and checking CRC for error detection."
"What will a host on an Ethernet network do if it receives a frame with a destination MAC address that does not match its own MAC address?","A) It will discard the frame, B) It will forward the frame to the next host, C) It will remove the frame from the media, D) It will strip off the data-link frame to check the destination IP address","A","If the destination MAC address in the frame does not match the host's MAC address, the device discards the frame."
"What are two examples of the cut-through switching method? (Choose two.)","A) store-and-forward switching, B) fast-forward switching, C) CRC switching, D) fragment-free switching, E) QOS switching","B,D","Fast-forward and fragment-free are both variations of the cut-through switching method, where only part of the frame is received before the switch begins to forward it."
"What are two actions performed by a Cisco switch? (Choose two.)","A) building a routing table that is based on the first IP address in the frame header, B) using the source MAC addresses of frames to build and maintain a MAC address table, C) forwarding frames with unknown destination IP addresses to the default gateway, D) utilizing the MAC address table to forward frames via the destination MAC address, E) examining the destination MAC address to add new entries to the MAC address table","B,D","A Cisco switch uses source MAC addresses of frames to build and maintain a MAC address table and utilizes the MAC address table to forward frames via the destination MAC address."
"Which frame forwarding method receives the entire frame and performs a CRC check to detect errors before forwarding the frame?","A) cut-through switching, B) store-and-forward switching, C) fragment-free switching, D) fast-forward switching","B","Fast-forward and fragment-free switching are variations of cut-through switching, which begins to forward the frame before the entire frame is received."
"What addresses are mapped by ARP?","A) destination MAC address to a destination IPv4 address, B) destination IPv4 address to the source MAC address, C) destination IPv4 address to the destination host name, D) destination MAC address to the source IPv4 address","A","ARP, or the Address Resolution Protocol, works by mapping a destination MAC address to a destination IPv4 address. The host knows the destination IPv4 address and uses ARP to resolve the corresponding destination MAC address."
"What information is added during encapsulation at OSI Layer 3?","A) source and destination MAC, B) source and destination application protocol, C) source and destination port number, D) source and destination IP address","D","IP is a Layer 3 protocol. Layer 3 devices can open the Layer 3 header to inspect the Layer 3 header which contains IP-related information including the source and destination IP addresses."
"What are two services provided by the OSI network layer? (Choose two.)","A) performing error detection, B) routing packets toward the destination, C) encapsulating PDUs from the transport layer, D) placement of frames on the media, E) collision detection","B,C","The OSI network layer provides several services to allow communication between devices: addressing, encapsulation, routing, de-encapsulation. Error detection, placing frames on the media, and collision detection are all functions of the data link layer."
"Why does a Layer 3 device perform the ANDing process on a destination IP address and subnet mask?","A) to identify the broadcast address of the destination network, B) to identify the host address of the destination host, C) to identify faulty frames, D) to identify the network address of the destination network","D","ANDing allows us to identify the network address from the IP address and the network mask."
"What are two functions of NVRAM? (Choose two.)","A) to store the routing table, B) to retain contents when power is removed, C) to store the startup configuration file, D) to contain the running configuration file, E) to store the ARP table","B,C","NVRAM is permanent memory storage, so the startup configuration file is preserved even if the router loses power."
"What is the dotted decimal representation of the IPv4 address 11001011.00000000.01110001.11010011?","A) 192.0.2.199, B) 198.51.100.201, C) 203.0.113.211, D) 209.165.201.223","C","Each section (octet) contains eight binary digits. Each digit represents a specific value (128, 64, 32, 16, 8, 4, 2, and 1). Everywhere there is a 1, the specific value is relevant. Add all relevant values in a particular octet to obtain the decimal value. For example, binary 11001011 equals 203 in decimal."
"What are three characteristics of multicast transmission? (Choose three.)","A) The source address of a multicast transmission is in the range of 224.0.0.0 to 224.0.0.255., B) A single packet can be sent to a group of hosts., C) Multicast transmission can be used by routers to exchange routing information., D) Routers will not forward multicast addresses in the range of 224.0.0.0 to 224.0.0.255., E) Computers use multicast transmission to request IPv4 addresses., F) Multicast messages map lower layer addresses to upper layer addresses.","B,C,D","Broadcast messages consist of single packets that are sent to all hosts on a network segment. These types of messages are used to request IPv4 addresses, and map upper layer addresses to lower layer addresses. A multicast transmission is a single packet sent to a group of hosts and is used by routing protocols, such as OSPF and RIPv2, to exchange routes."
"What are the three ranges of IP addresses that are reserved for internal private use? (Choose three.)","A) 10.0.0.0/8, B) 64.100.0.0/14, C) 127.16.0.0/12, D) 172.16.0.0/12, E) 192.31.7.0/24, F) 192.168.0.0/16","A,D,F","The private IP address blocks that are used inside companies are as follows: 10.0.0.0/8 (any address that starts with 10 in the first octet), 172.16.0.0/12 (any address that starts with 172.16 in the first two octets through 172.31.255.255), 192.168.0.0/16 (any address that starts with 192.168 in the first two octets)."
"What purpose does NAT64 serve in IPv6?","A) It converts IPv6 packets into IPv4 packets., B) It translates private IPv6 addresses into public IPv6 addresses., C) It enables companies to use IPv6 unique local addresses in the network., D) It converts regular IPv6 addresses into 64-bit addresses that can be used on the Internet., E) It converts the 48-bit MAC address into a 64-bit host address that can be used for automatic host addressing.","A","NAT64 is typically used in IPv6 when networks are being transitioned from IPv4 to IPv6. It allows the IPv6 networks to connect to IPv4 networks (such as the Internet), and works by translating the IPv6 packets into IPv4 packets."
"What is the most compressed representation of the IPv6 address 2001:0000:0000:abcd:0000:0000:0000:0001?","A) 2001:0:abcd::1, B) 2001:0:0:abcd::1, C) 2001::abcd::1, D) 2001:0000:abcd::1, E) 2001::abcd
"Which range of link-local addresses can be assigned to an IPv6-enabled interface?","A) FEC0::/10, B) FDEE::/7, C) FE80::/10, D) FF00::/8","C","Link-local addresses are in the range of FE80::/10 to FEBF::/10. The original IPv6 specification defined site-local addresses and used the prefix range FEC0::/10, but these addresses were deprecated by the IETF in favor of unique local addresses. FDEE::/7 is a unique local address because it is in the range of FC00::/7 to FDFF::/7. IPv6 multicast addresses have the prefix FF00::/8."
"Which three addresses are valid public addresses? (Choose three.)","A) 198.133.219.17, B) 192.168.1.245, C) 10.15.250.5, D) 128.107.12.117, E) 192.15.301.240, F) 64.104.78.227","A,D,F","Valid public IP addresses are routable on the public Internet. In the given options, 198.133.219.17, 128.107.12.117, and 64.104.78.227 are valid public IP addresses."
"What type of IPv6 address is FE80::1?","A) loopback, B) link-local, C) multicast, D) global unicast","B","FE80::/10 is the range reserved for link-local IPv6 addresses, which are used for communication on the local network segment."
"How many valid host addresses are available on an IPv4 subnet that is configured with a /26 mask?","A) 254, B) 190, C) 192, D) 62, E) 64","D","When a /26 mask is used, 6 bits are used as host bits. With 6 bits, 64 addresses are possible, but one address is for the subnet number and one address is for a broadcast. This leaves 62 addresses that can be assigned to network devices."
"A site administrator has been told that a particular network at the site must accommodate 126 hosts. Which subnet mask would be used that contains the required number of host bits?","A) 255.255.255.0, B) 255.255.255.128, C) 255.255.255.224, D) 255.255.255.240","C","To accommodate 126 hosts, 7 host bits are needed, resulting in a subnet mask of 255.255.255.224 (/27). This allows for 2^7 - 2 = 126 usable host addresses."
"A network administrator wants to have the same subnet mask for three subnetworks at a small site. The site has the following networks and numbers of devices: Subnetwork A: IP phones – 10 addresses, Subnetwork B: PCs – 8 addresses, Subnetwork C: Printers – 2 addresses. What single subnet mask would be appropriate to use for the three subnetworks?","A) 255.255.255.0, B) 255.255.255.240, C) 255.255.255.248, D) 255.255.255.252","C","To have the same subnet mask for all three subnetworks, you need a subnet mask that accommodates the largest number of hosts, which is 10 in Subnetwork A. Therefore, you should use a subnet mask of 255.255.255.248 (/29) to provide enough host addresses for Subnetwork A while also allowing for smaller subnetworks."
"How many hosts are addressable on a network that has a mask of 255.255.255.248?","A) 2, B) 6, C) 8, D) 14, E) 16, F) 254","B","The subnet mask 255.255.255.248 (or /29) allows for 3 bits of host addressing, resulting in 2^3 - 2 = 6 usable host addresses on the network."
"Which subnet would include the address 192.168.1.96 as a usable host address?","A) 192.168.1.64/26, B) 192.168.1.32/27, C) 192.168.1.32/28, D) 192.168.1.64/29","A","The subnet 192.168.1.64/26 includes the address 192.168.1.96 as a usable host address because it falls within the range of host addresses for that subnet."
"What subnet mask is needed if an IPv4 network has 40 devices that need IP addresses and address space is not to be wasted?","A) 255.255.255.0, B) 255.255.255.128, C) 255.255.255.192, D) 255.255.255.224, E) 255.255.255.240","C","To accommodate 40 devices with no wasted address space, you would need a subnet mask that provides 6 bits for host addresses. This results in a subnet mask of 255.255.255.192 (/26), allowing for 2^6 - 2 = 62 usable host addresses."
"What are two characteristics shared by TCP and UDP? (Choose two.)","A) default window size, B) connectionless communication, C) port numbering, D) 3-way handshake, E) ability to carry digitized voice, F) use of checksum","C,F","Both TCP and UDP use source and destination port numbers to distinguish different data streams and use a checksum to verify data integrity. TCP uses a 3-way handshake, but UDP is connectionless."
"Why are port numbers included in the TCP header of a segment?","A) to indicate the correct router interface that should be used to forward a segment, B) to identify which switch ports should receive or forward the segment, C) to determine which Layer 3 protocol should be used to encapsulate the data, D) to enable a receiving host to forward the data to the appropriate application, E) to allow the receiving host to assemble the packet in the proper order","D","Port numbers in the TCP header identify the application or service to which the data should be delivered on the receiving host."
"What is the TCP mechanism used in congestion avoidance?","A) three-way handshake, B) socket pair, C) two-way handshake, D) sliding window","D","TCP uses sliding windows as a mechanism for congestion avoidance. When the destination is overwhelmed, it can reduce the size of the window, thereby controlling congestion."
"What are two ways that TCP uses the sequence numbers in a segment? (Choose two.)","A) to identify missing segments at the destination, B) to reassemble the segments at the remote location, C) to specify the order in which the segments travel from source to destination, D) to limit the number of segments that can be sent out of an interface at one time, E) to determine if the packet changed during transit","A,C","TCP uses sequence numbers to identify missing segments at the destination and to specify the order in which the segments should be reassembled at the destination."
"Which two tasks are functions of the presentation layer? (Choose two.)","A) compression, B) addressing, C) encryption, D) session control, E) authentication","A,C","The presentation layer is responsible for functions such as compression and encryption."
"Which three statements characterize UDP? (Choose three.)","A) UDP provides basic connectionless transport layer functions., B) UDP provides connection-oriented, fast transport of data at Layer 3., C) UDP relies on application layer protocols for error detection., D) UDP is a low overhead protocol that does not provide sequencing or flow control mechanisms., E) UDP relies on IP for error detection and recovery., F) UDP provides sophisticated flow control mechanisms.","A,C,D","UDP is a simple protocol that provides the basic transport layer functions. It has much lower overhead than TCP because it is not connection-oriented and does not offer the sophisticated retransmission, sequencing, and flow control mechanisms that provide reliability."
"What is a key characteristic of the peer-to-peer networking model?","A) wireless networking, B) social networking without the Internet, C) network printing using a print server, D) resource sharing without a dedicated server.","D","The peer-to-peer (P2P) networking model allows data, printer, and resource sharing without a dedicated server."
"A technician can ping the IP address of the web server of a remote company but cannot successfully ping the URL address of the same web server. Which software utility can the technician use to diagnose the problem?","A) tracert, B) ipconfig, C) netstat, D) nslookup.","A","Traceroute (tracert) is a utility that generates a list of hops that were successfully reached along the path from source to destination."
"Which domain name would be an example of a top-level domain?","A) www.cisco.com, B) cisco.com, C) .com, D) root.cisco.com.","C","Top-level domains represent a country or type of organization, such as .com or .edu."
"A PC obtains its IP address from a DHCP server. If the PC is taken off the network for repair, what happens to the IP address configuration?","A) The configuration is permanent and nothing changes., B) The address lease is automatically renewed until the PC is returned., C) The address is returned to the pool for reuse when the lease expires., D) The configuration is held by the server to be reissued when the PC is returned.","C","When a DCHP address is issued to a host, it is for a specific lease time. Once the lease expires, the address is returned to the DHCP pool."
"When planning for network growth, where in the network should packet captures take place to assess network traffic?","A) on as many different network segments as possible, B) only at the edge of the network, C) between hosts and the default gateway, D) only on the busiest network segment.","A","Because some types of traffic will be only on specific network segments, packet captures for analysis should be performed on as many segments as possible."
"A wireless host needs to request an IP address. What protocol would be used to process the request?","A) FTP, B) HTTP, C) DHCP, D) ICMP, E) SNMP.","C","The DHCP protocol is used to request, issue, and manage IP addressing information."
"Which example of malicious code would be classified as a Trojan horse?","A) malware that was written to look like a video game, B) malware that requires manual user intervention to spread between systems, C) malware that attaches itself to a legitimate program and spreads to other programs when launched, D) malware that can automatically spread from one system to another by exploiting a vulnerability in the target.","A","A Trojan horse is malicious code that has been written specifically to look like a legitimate program."
"When applied to a router, which command would help mitigate brute-force password attacks against the router?","A) exec-timeout 30, B) service password-encryption, C) banner motd $Max failed logins = 5$, D) login block-for 60 attempts 5 within 60.","D","The login block-for command sets a limit on the maximum number of failed login attempts allowed within a defined period of time. If this limit is exceeded, no further logins are allowed for the specified period of time. This helps to mitigate brute-force password cracking."
"A network technician suspects that a particular network connection between two Cisco switches is having a duplex mismatch. Which command would the technician use to see the Layer 1 and Layer 2 details of a switch port?","A) show mac-address-table, B) show ip interface brief, C) show interfaces, D) show running-config.","C","The show interfaces command can be used on both routers and switches to see speed, duplex, media type, MAC address, port type, and other Layer 1/Layer 2-related information."
"Where are Cisco IOS debug output messages sent by default?","A) Syslog server, B) console line, C) memory buffers, D) vty lines.","B","Debug messages, like other IOS log messages, are sent to the console line by default. Sending these messages to the terminal lines requires the terminal monitor command."
"Match the description with the associated IOS mode. (not all options are used.)","user EXEC mode -> the first entrance into the CLI of an IOS device, privileged EXEC mode -> identified by a prompt ending with the # character, global configuration mode -> changes made affect the operation of the device as a whole.","",""
"A user is unable to reach the web site when typing http://www.cisco.com in a web browser, but can reach the same site by typing http://72.163.4.161. What is the issue?","A) default gateway, B) DHCP, C) TCP/IP protocol stack, D) DNS.","D","Domain Name Service (DNS) is used to translate a web address to an IP address."
"A company is expanding its business to other countries. All branch offices must remain connected to corporate headquarters at all times. Which network technology is required to support this requirement?","A) LAN, B) MAN, C) WAN, D) WLAN.","C","A wide-area network (WAN) connects networks together over a large geographic area. WANs can span cities, countries, or the globe."
"A home user is looking for an ISP connection that provides high-speed digital transmission over regular phone lines. What ISP connection type should be used?","A) DSL, B) dial-up, C) satellite, D) cell modem, E) cable modem.","A","DSL provides high-speed digital transmission over regular phone lines."
"How does quality of service help a network support a wide range of applications and services?","A) by limiting the impact of a network failure, B) by allowing quick recovery from network failures, C) by providing mechanisms to manage congested network traffic, D) by providing the ability for the network to grow to accommodate new users.","C","Quality of service (QoS) is a vital component of the architecture of a network. With QoS, network administrators can provide applications with predictable and measurable service guarantees through mechanisms that manage congested network traffic."
"What source IP address does a router use by default when the traceroute command is issued?","A) the highest configured IP address on the router, B) the lowest configured IP address on the router, C) a loopback IP address, D) the IP address of the outbound interface.","D","When sending an echo request message, a router will use the IP address of the exit interface as the source IP address. This default behavior can be changed by using an extended ping and specifying a specific source IP address."
"After making configuration changes on a Cisco switch, a network administrator issues a copy running-config startup-config command. What is the result of issuing this command?","A) The new configuration will be stored in flash memory., B) The new configuration will be loaded if the switch is restarted., C) The current IOS file will be replaced with the newly configured file., D) The configuration changes will be removed and the original configuration will be restored.","B","With the copy running-config startup-config command, the content of the current operating configuration replaces the startup configuration file stored in NVRAM. The configuration file saved in NVRAM will be loaded when the device is restarted."
"Match each item to the type of topology diagram on which it is typically identified. (Not all options are used.)","Question, Answer, physical topology diagram -> location of a desktop PC in a classroom, path of cables that connect rooms to wiring closets, logical topology diagram -> IP address of a server.","","A logical topology diagram typically depicts the IP addressing scheme and groupings of devices and ports. A physical topology diagram shows how those devices are connected to each other and the network, focusing on the physical locations of intermediary devices, configured ports, and cabling."
"Which connection provides a secure CLI session with encryption to a Cisco network device?","A console connection, an AUX connection, a Telnet connection, an SSH connection.","D","A CLI session using Secure Shell (SSH) provides enhanced security because SSH supports strong passwords and encryption during the transport of session data. The other methods support authentication but not encryption."
"What function does pressing the Tab key have when entering a command in IOS?","A) It aborts the current command and returns to configuration mode., B) It exits configuration mode and returns to user EXEC mode., C) It moves the cursor to the beginning of the next line., D) It completes the remainder of a partially typed word in a command.","D","Pressing the Tab key after a command has been partially typed will cause the IOS to complete the rest of the command."
"What layer is responsible for routing messages through an internetwork in the TCP/IP model?","A) internet, B) transport, C) network access, D) session.","A","The TCP/IP model consists of four layers: application, transport, internet, and network access. Of these four layers, it is the internet layer that is responsible for routing messages. The session layer is not part of the TCP/IP model but is rather part of the OSI model."
"Which statement accurately describes a TCP/IP encapsulation process when a PC is sending data to the network?","A) Data is sent from the internet layer to the network access layer., B) Packets are sent from the network access layer to the transport layer., C) Segments are sent from the transport layer to the internet layer., D) Frames are sent from the network access layer to the internet layer.","B","When the data is traveling from the PC to the network, the transport layer sends segments to the internet layer. The internet layer sends packets to the network access layer, which creates frames and then converts the frames to bits. The bits are released to the network media."
"What unique address is embedded in an Ethernet NIC and used for communication on an Ethernet network?","A) host address, B) IP address, C) MAC address, D) network address, E) k layer.","C","The MAC address is a 48-bit address that is burned into every Ethernet NIC. Each MAC address is unique throughout the world."
"Which procedure is used to reduce the effect of crosstalk in copper cables?","A) requiring proper grounding connections, B) twisting opposing circuit wire pairs together, C) wrapping the bundle of wires with metallic shielding, D) designing a cable infrastructure to avoid crosstalk interference, E) avoiding sharp bends during installation.","B","In copper cables, crosstalk is a disturbance caused by the electric or magnetic fields of a signal on one wire interfering with the signal in an adjacent wire. Twisting opposing circuit wire pairs together can effectively cancel the crosstalk. The other options are effective measures to counter the negative effects of EMI and RFI, but not crosstalk."
"During the encapsulation process, what occurs at the data link layer for a PC connected to an Ethernet network?","A) An IP address is added., B) The logical address is added., C) The physical address is added., D) The process port number is added.","C","The Ethernet frame includes the source and destination physical address. The trailer includes a CRC value in the Frame Check Sequence field to allow the receiving device to determine if the frame has been changed (has errors) during the transmission."
"What are two characteristics of Ethernet MAC addresses? (Choose two.)","A) They are globally unique., B) They are routable on the Internet., C) They are expressed as 12 hexadecimal digits., D) MAC addresses use a flexible hierarchical structure., E) MAC addresses must be unique for both Ethernet and serial interfaces on a device.","A,C","An Ethernet MAC address is a 48-bit binary value expressed as 12 hexadecimal digits. MAC addresses must be globally unique by design. MAC addresses are in flat structure and thus they are not routable on the Internet. Serial interfaces do not use MAC addresses."
"If a device receives an Ethernet frame of 60 bytes, what will it do?","A) drop the frame, B) process the frame as it is, C) send an error message to the sending device, D) add random data bytes to make it 64 bytes long and then forward it.","A","Ethernet standards define the minimum frame size as 64 bytes. A frame less than 64 bytes is considered a “collision fragment” or “runt frame” and is automatically discarded by receiving devices."
"Under which two circumstances will a switch flood a frame out of every port except the port that the frame was received on? (Choose two.)","A) The frame has the broadcast address as the destination address., B) The destination address is unknown to the switch., C) The source address in the frame header is the broadcast address., D) The source address in the frame is a multicast address., E) The destination address in the frame is a known unicast address.","A,B","A switch will flood a frame out of every port, except the one that the frame was received from, under two circumstances. Either the frame has the broadcast address as the destination address, or the destination address is unknown to the switch."
"Which switching method has the lowest level of latency?","A) cut-through, B) store-and-forward, C) fragment-free, D) fast-forward.","D","Fast-forward switching begins to forward a frame after reading the destination MAC address, resulting in the lowest latency. Fragment-free reads the first 64 bytes before forwarding. Store-and-forward has the highest latency because it reads the entire frame before beginning to forward it. Both fragment-free and fast-forward are types of cut-through switching."
"Which two commands can be used on a Windows host to display the routing table? (Choose two.)","A) netstat -s, B) route print, C) show ip route, D) netstat -r, E) tracert.","B,D","On a Windows host, the route print or netstat -r commands can be used to display the host routing table. Both commands generate the same output. On a router, the show ip route command is used to display the routing table. The netstat –s command is used to display per-protocol statistics. The tracert command is used to display the path that a packet travels to its destination."
"Which two functions are primary functions of a router? (Choose two.)","A) packet forwarding, B) microsegmentation, C) domain name resolution, D) path selection, E) flow control.","A,D","Primary functions of a router include packet forwarding (routing) and path selection. Routers make decisions about where to forward packets based on destination addresses. Routers do not perform microsegmentation, domain name resolution, or flow control."
"What is the binary representation of 0xCA?","A) 10111010, B) 11010101, C) 11001010, D) 11011010.","D","When converted, CA in hex is equivalent to 11011010 in binary. One way to do the conversion is one nibble at a time, C = 1100 and A = 1010. Combine the two nibbles gives 11001010."
"At a minimum, which address is required on IPv6-enabled interfaces?","A) link-local, B) unique local, C) site local, D) global unicast.","A","All IPv6 enabled interfaces must at minimum have a link-local address. Other IPv6 addresses can be assigned to the interface as required."
"Which service provides dynamic global IPv6 addressing to end devices without using a server that keeps a record of available IPv6 addresses?","A) stateful DHCPv6, B) SLAAC, C) static IPv6 addressing, D) stateless DHCPv6.","B","Using stateless address autoconfiguration (SLAAC), a PC can solicit a router and receive the prefix length of the network. From this information, the PC can then create its own IPv6 global unicast address."
"What is the purpose of the command ping ::1?","A) It tests the internal configuration of an IPv6 host., B) It tests the broadcast capability of all hosts on the subnet., C) It tests the multicast connectivity to all hosts on the subnet., D) It tests the reachability of the default gateway for the network.","A","The address ::1 is an IPv6 loopback address. Using the command ping ::1 tests the internal IP stack to ensure that it is configured and functioning correctly. It does not test reachability to any external device, nor does it confirm that IPv6 addresses are properly configured on the host."
