Question;Options;Correct Answer;Explanation;ImagePath;;
11. A network administrator adds the default-information originate command to the configuration of a router that uses RIP as the routing protocol. What will result from adding this command?;The router will only forward packets that originate on directly connected networks.,The router will propagate a static default route in its RIP updates, if one is present,The router will be reset to the default factory information,The router will not forward routing information that is learned from other routers;The router will propagate a static default route in its RIP updates, if one is present;No explanation provided.;;;
12. Refer to the exhibit. What is the administrative distance value that indicates the route for R2 to reach the 10.10.0.0/16 network?;1,0,90,20512256;1;In the R2 routing table, the route to reach network 10.10.0.0 is labeled with an administrative distance of 1, which indicates that this is a static route.;;;
13. Which route will a router use to forward an IPv4 packet after examining its routing table for the best match with the destination address?;a level 1 child route,a level 1 parent route,a level 1 ultimate route,a level 2 supernet route;a level 1 ultimate route;If the best match is a level 1 ultimate route then the router will forward the packet to that network. Level 1 parent route is a route that contains subnets and is not used to forward packets. Level 1 child routes and level 2 supernet routes are not valid routing table entries.;;;
14. Refer to the exhibit. An administrator is attempting to install an IPv6 static route on router R1 to reach the network attached to router R2. After the static route command is entered, connectivity to the network is still failing. What error has been made in the static route configuration?;The network prefix is incorrect.,The destination network is incorrect.,The interface is incorrect,The next hop address is incorrect.;The interface is incorrect;In this example, the interface in the static route is incorrect. The interface should be the exit interface on R1, which is s0/0/0.;;;
15. A network administrator reviews the routing table on the router and sees a route to the destination network 172.16.64.0/18 with a next-hop IP address of 192.168.1.1. What are two descriptions of this route? (Choose two.);parent route,default route,level 2 child route,ultimate route,supernet route;parent route, ultimate route;A level 2 child route is a subnet of a classful network, and an ultimate route is any route that uses an exit interface or next hop address. 172.16.64.0/18 is a subnet of the classful 172.16.0.0/16 network.;;;
16. Which two factors are important when deciding which interior gateway routing protocol to use? (Choose two.);scalability,ISP selection,speed of convergence,the autonomous system that is used,campus backbone architecture;scalability, speed of convergence;There are several factors to consider when selecting a routing protocol to implement. Two of them are scalability and speed of convergence. The other options are irrelevant.;;;
17. Employees of a company connect their wireless laptop computers to the enterprise LAN via wireless access points that are cabled to the Ethernet ports of switches. At which layer of the three-layer hierarchical network design model do these switches operate?;physical,access,core,data link,distribution;access;Access layer switches provide user access to the network. End user devices, such as PCs, access points, printers, and copiers, would require a port on a switch to connect to the network. Thus, more switches are needed in the access layer than are needed in the core and distribution layers.;;;
18. What is a basic function of the Cisco Borderless Architecture access layer?;aggregates Layer 2 broadcast domains,aggregates Layer 3 routing boundaries,provides access to the user,provides fault isolation;provides access to the user;A function of the Cisco Borderless Architecture access layer is providing network access to the users. Layer 2 broadcast domain aggregation, Layer 3 routing boundaries aggregation, and high availability are distribution layer functions. The core layer provides fault isolation and high-speed backbone connectivity.;;;
19. What is a characteristic of the distribution layer in the three-layer hierarchical model?;provides access to the rest of the network through switching, routing, and network access policies,distributes access to end users,represents the network edge,acts as the backbone for the network, aggregating and distributing network traffic throughout the campus;acts as the backbone for the network, aggregating and distributing network traffic throughout the campus;One of the functions of the distribution layer is aggregating large-scale wiring closet networks. Providing access to end users is a function of the access layer, which is the network edge. Acting as a backbone is a function of the core layer.;;;
20. Which information does a switch use to populate the MAC address table?;the destination MAC address and the incoming port,the destination MAC address and the outgoing port,the source and destination MAC addresses and the incoming port,the source and destination MAC addresses and the outgoing port,the source MAC address and the incoming port,the source MAC address and the outgoing port;the source MAC address and the incoming port;To maintain the MAC address table, the switch uses the source MAC address of the incoming packets and the port that the packets enter. The destination address is used to select the outgoing port.;;;
21. Which statement is correct about Ethernet switch frame forwarding decisions?;Unicast frames are always forwarded regardless of the destination MAC address,Frame forwarding decisions are based on MAC address and port mappings in the CAM table,Cut-through frame forwarding ensures that invalid frames are always dropped,Only frames with a broadcast destination address are forwarded out all active switch ports;Frame forwarding decisions are based on MAC address and port mappings in the CAM table;Cut-through frame forwarding reads up to only the first 22 bytes of a frame, which excludes the frame check sequence, and thus invalid frames may be forwarded. In addition to broadcast frames, frames with a destination MAC address that is not in the CAM are also flooded out all active ports. Unicast frames are not always forwarded. Received frames with a destination MAC address that is associated with the switch port on which it is received are not forwarded because the destination exists on the network segment connected to that port.;;;
22. What is the name of the layer in the Cisco borderless switched network design that would have more switches deployed than other layers in the network design of a large organization?;access,core,data link,network,network access;access;Access layer switches provide user access to the network. End user devices, such as PCs, access points, printers, and copiers, would require a port on a switch in order to connect to the network. Thus, more switches are needed in the access layer than are needed in the core and distribution layers.;;;
23. Which switching method drops frames that fail the FCS check?;borderless switching,cut-through switching,ingress port buffering,store-and-forward switching;store-and-forward switching;The FCS check is used with store-and-forward switching to drop any frame with an FCS that does not match the FCS calculation that is made by a switch. Cut-through switching does not perform any error checking. Borderless switching is a network architecture, not a switching method. Ingress port buffering is used with store-and-forward switching to support different Ethernet speeds, but it is not a switching method.;;;
24. In what situation would a Layer 2 switch have an IP address configured?;when the Layer 2 switch is using a routed port,when the Layer 2 switch needs to be remotely managed,when the Layer 2 switch is the default gateway of user traffic,when the Layer 2 switch needs to forward user traffic to another device;when the Layer 2 switch needs to be remotely managed;Layer 2 switches can be configured with an IP address so that they can be remotely managed by an administrator. Layer 3 switches can use an IP address on routed ports. Layer 2 switches do not need a configured IP address to forward user traffic or act as a default gateway.;;;
25. Refer to the exhibit. A network engineer is examining a configuration implemented by a new intern who attached an IP phone to a switch port and configured the switch. Identify the issue, if any, with the configuration.;The voice VLAN should be 150.,The configuration is correct.,There must be a data VLAN added.,The spanning-tree BPDU guard feature is missing.,The switch port is not configured as a trunk.;The voice VLAN should be 150.;;;;
26. A network administrator is configuring a new Cisco switch for remote management access. Which three items must be configured on the switch for the task? (Choose three.);vty lines,VTP domain,loopback address,default VLAN,default gateway,IP address;vty lines,default gateway,IP address;To enable remote management access, the Cisco switch must be configured with an IP address and a default gateway. In addition, vty lines must be configured to enable either Telnet or SSH connections. A loopback address, VTP domain, and default VLAN configurations are not necessary for the purpose of remote switch management.;;;
27. A network technician has been asked to secure all switches in the campus network. The security requirements are for each switch to automatically learn and add MAC addresses to both the address table and the running configuration. Which port security configuration will meet these requirements?;auto secure MAC addresses,dynamic secure MAC addresses,static secure MAC addresses,sticky secure MAC addresses;sticky secure MAC addresses;With sticky secure MAC addressing, the MAC addresses can be either dynamically learned or manually configured and then stored in the address table and added to the running configuration file. In contrast, dynamic secure MAC addressing provides for dynamically learned MAC addressing that is stored only in the address table.;;;
28. A network administrator is configuring port security on a Cisco switch. When a violation occurs, which violation mode that is configured on an interface will cause packets with an unknown source address to be dropped with no notification sent?;off,restrict,protect,shutdown;protect;On a Cisco switch, an interface can be configured for one of three violation modes, specifying the action to be taken if a violation occurs: Protect – Packets with unknown source addresses are dropped until a sufficient number of secure MAC addresses are removed, or the number of maximum allowable addresses is increased. There is no notification that a security violation has occurred. Restrict – Packets with unknown source addresses are dropped until a sufficient number of secure MAC addresses are removed, or the number of maximum allowable addresses is increased. In this mode, there is a notification that a security violation has occurred. Shutdown – The interface immediately becomes error-disabled and the port LED is turned off.;;;
29. Two employees in the Sales department work different shifts with their laptop computers and share the same Ethernet port in the office. Which set of commands would allow only these two laptops to use the Ethernet port and create a violation log entry without shutting down the port if a violation occurs?;switchport mode access,switchport port-security,switchport mode access,switchport port-security,switchport port-security maximum 2,switchport port-security mac-address sticky,switchport port-security violation restrict,switchport mode access,switchport port-security maximum 2,switchport port-security mac-address sticky,switchport mode access,switchport port-security maximum 2,switchport port-security mac-address sticky,switchport port-security violation protect;switchport mode access,switchport port-security,switchport port-security maximum 2,switchport port-security mac-address sticky,switchport port-security violation restrict;The switchport port-security command with no parameters must be entered before any other port security options. The parameter maximum 2 ensures that only the first two MAC addresses detected by the switch are allowed. The mac-address sticky option allows the switch to learn the first two MAC addresses that come into the specific port. The violation restrict option keeps track of the number of violations.;;;
30. Refer to the exhibit. What protocol should be configured on SW-A Port 0/1 if it is to send traffic from multiple VLANs to switch SW-B?;RIP v2,IEEE 802.1Q,Spanning Tree,ARP,Rapid Spanning Tree;IEEE 802.1Q;;;;
31. A Cisco Catalyst switch has been added to support the use of multiple VLANs as part of an enterprise network. The network technician finds it necessary to clear all VLAN information from the switch in order to incorporate a new network design. What should the technician do to accomplish this task?;Erase the startup configuration and reboot the switch,Erase the running configuration and reboot the switch,Delete the startup configuration and the vlan.dat file in the flash memory of the switch and reboot the switch,Delete the IP address that is assigned to the management VLAN and reboot the switch.;Delete the startup configuration and the vlan.dat file in the flash memory of the switch and reboot the switch;To restore a Catalyst switch to its factory default condition, unplug all cables except the console and power cable from the switch. Then enter the erase startup-config privileged EXEC mode command followed by the delete vlan.dat command and reboot the switch.;;;
32. What will a Cisco LAN switch do if it receives an incoming frame and the destination MAC address is not listed in the MAC address table?;Drop the frame,Send the frame to the default gateway address,Use ARP to resolve the port that is related to the frame,Forward the frame out all ports except the port where the frame is received.;Forward the frame out all ports except the port where the frame is received;A LAN switch populates the MAC address table based on source MAC addresses. When a switch receives an incoming frame with a destination MAC address that is not listed in the MAC address table, the switch forwards the frame out all ports except for the ingress port of the frame. When the destination device responds, the switch adds the source MAC address and the port on which it was received to the MAC address table.;;;
33. Which command can be used to encrypt all current and future plain-text passwords that are stored in the Cisco IOS configuration file?;username secret,service password-encryption,enable secret,password-encryption;service password-encryption;The service password-encryption command is used to encrypt all plain-text passwords stored in the Cisco IOS configuration file. This command encrypts all current and future passwords. Other commands, such as enable secret, are used to set specific password values.;;;
34. Which command can be used to encrypt the plaintext password that is used to gain privileged exec access to a Cisco switch or router?;username secret,service password-encryption,enable secret,password-encryption;enable secret;"The enable secret command is used to encrypt the plaintext password that is used to gain privileged exec access to a Cisco switch or router. This password is also sometimes referred to as the enable password."" The service password-encryption command is used to  and it affects other types of passwords encrypt all plain-text passwords stored in the configuration file not just the enable password.""";;;
35. A network administrator is designing an ACL. The networks 192.168.1.0/25, 192.168.0.0/25, 192.168.0.128/25, 192.168.1.128/26, and 192.168.1.192/26 are affected by the ACL. Which wildcard mask, if any, is the most efficient to use when specifying all of these networks in a single ACL permit entry?;0.0.1.255,0.0.0.127,0.0.0.255,0.0.255.255,A single ACL command and wildcard mask should not be used to specify these particular networks or other traffic will be permitted or denied and present a security risk.;0.0.0.127;A single ACL command and wildcard mask should not be used to specify these particular networks or other traffic will be permitted or denied and present a security risk. The most efficient wildcard mask for these networks is 0.0.1.255, which designates that 25 bits must match.;;;
36. The computers used by the network administrators for a school are on the 10.7.0.0/27 network. Which two commands are needed at a minimum to apply an ACL that will ensure that only devices that are used by the network administrators will be allowed Telnet access to the routers? (Choose two.);access-class 5 in,access-list 5 deny any,access-list standard VTY,permit 10.7.0.0 0.0.0.127,access-list 5 permit 10.7.0.0 0.0.0.31,ip access-group 5 out,ip access-group 5 in;access-class 5 in,access-list 5 permit 10.7.0.0 0.0.0.31;Numbered and named access lists can be used on vty lines to control remote access. The first ACL command, access-list 5 permit 10.7.0.0 0.0.0.31, allows traffic that originates from any device on the 10.7.0.0/27 network. The second ACL command, access-class 5 in, applies the access list to a vty line.;;;
37. A network engineer has created a standard ACL to control SSH access to a router. Which command will apply the ACL to the VTY lines?;access-group 11 in,access-class 11 in,access-list 11 in,access-list 110 in,;access-group 11 in;The access-group command is used to apply an access control list (ACL) to an interface. When applied to a VTY line, it controls SSH access to the router. In this case, access-group 11 in will apply ACL 11 to incoming SSH connections.;;;
38. What is the reason why the DHCPREQUEST message is sent as a broadcast during the DHCPv4 process?;for hosts on other subnets to receive the information,to notify other hosts not to request the same IP address,for routers to fill their routing tables with this new information,to notify other DHCP servers on the subnet that the IP address was leased;for routers to fill their routing tables with this new information;The DHCPREQUEST message is broadcast to inform routers about the newly leased IP address so that they can update their routing tables with this information. It is not sent to notify other hosts or DHCP servers on the subnet.;;;
39. Which set of commands will configure a router as a DHCP server that will assign IPv4 addresses to the 192.168.100.0/23 LAN while reserving the first 10 and the last addresses for static assignment?;ip dhcp excluded-address 192.168.100.1 192.168.100.10,ip dhcp excluded-address 192.168.100.254,ip dhcp pool LAN POOL-100,network 192.168.100.0 255.255.255.0,ip default gateway 192.168.100.1,ip dhcp excluded-address 192.168.100.1 192.168.100.9,ip dhcp excluded-address 192.168.101.254,ip dhcp pool LAN POOL-100 ip,network 192.168.100.0 255.255.254.0,ip default-gateway 192.168.100.1,ip dhcp excluded-address 192.168.100.1 192.168.100.10,ip dhcp excluded-address 192.168.101.254,ip dhcp pool LAN POOL-100,network 192.168.100.0 255.255.254.0,default-router 192.168.100.1,dhcp pool LAN-POOL 100,ip dhcp excluded-address 192.168.100.1 192.168.100.9,ip dhcp excluded-address 192.168.100.254,network 192.168.100.0 255.255.254.0,default-router 192.168.101.1;ip dhcp excluded-address 192.168.100.1 192.168.100.10,ip dhcp excluded-address 192.168.100.254,ip dhcp pool LAN POOL-100,network 192.168.100.0 255.255.254.0,default-router 192.168.100.1;The /23 prefix is equivalent to a network mask of 255.255.254.0. The network usable IPv4 address range is 192.168.100.1 to 192.168.101.254 inclusive. The commands dhcp pool, ip default-gateway, and ip network are not valid DHCP configuration commands.;;;
40. Which command, when issued in the interface configuration mode of a router, enables the interface to acquire an IPv4 address automatically from an ISP, when that link to the ISP is enabled?;ip dhcp pool,ip address dhcp,service dhcp,ip helper-address;ip address dhcp;The ip address dhcp interface configuration command configures an Ethernet interface as a DHCP client. This command allows the interface to acquire an IPv4 address automatically from an ISP when the link to the ISP is enabled.;;;
41. Refer to the exhibit. A network administrator is configuring a router as a DHCPv6 server. The administrator issues a show ipv6 dhcp pool command to verify the configuration. Which statement explains the reason that the number of active clients is 0?;The default gateway address is not provided in the pool,No clients have communicated with the DHCPv6 server yet,The IPv6 DHCP pool configuration has no IPv6 address range specified,The state is not maintained by the DHCPv6 server under stateless DHCPv6 operation.;The state is not maintained by the DHCPv6 server under stateless DHCPv6 operation.;Under the stateless DHCPv6 configuration, indicated by the command ipv6 nd other-config-flag, the DHCPv6 server does not maintain the state information because client IPv6 addresses are not managed by the DHCP server. Because the clients will configure their IPv6 addresses by combining the prefix/prefix-length and a self-generated interface ID, the ipv6 dhcp pool configuration does not need to specify the valid IPv6 address range. And because clients will use the link-local address of the router interface as the default gateway address, the default gateway address is not necessary.;;;
42. Refer to the exhibit. R1 has been configured as shown. However, PC1 is not able to receive an IPv4 address. What is the problem?;A DHCP server must be installed on the same LAN as the host that is receiving the IP address,R1 is not configured as a DHCPv4 server.,The ip address dhcp command was not issued on the interface Gi0/1.,The ip helper-address command was applied on the wrong interface.;The ip helper-address command was applied on the wrong interface.;The ip helper-address command has to be applied on interface Gi0/0. This command must be present on the interface of the LAN that contains the DHCPv4 client PC1 and must be directed to the correct DHCPv4 server.;;;
43. Refer to the exhibit. Which statement shown in the output allows router R1 to respond to stateless DHCPv6 requests?;ipv6 unicast-routing,ipv6 nd other-config-flag,ipv6 dhcp server LAN1,prefix-delegation 2001:DB8:8::/48 00030001000E84244E70,dns-server 2001:DB8:8::8;ipv6 nd other-config-flag;The interface command ipv6 nd other-config-flag allows RA messages to be sent on this interface, indicating that additional information is available from a stateless DHCPv6 server.;;;
44. Refer to the exhibit. NAT is configured on Remote and Main. The PC is sending a request to the web server. What IPv4 address is the source IP address in the packet between Main and the web server?;10.130.5.76,209.165.200.245,203.0.113.5,172.16.1.10,192.0.2.1,209.165.200.226;203.0.113.5;Because the packet is between Main and the web server, the source IP address is the inside global address of PC, 203.0.113.5.;;;
45. Which type of traffic would most likely have problems when passing through a NAT device?;Telnet,IPsec,HTTP,ICMP,DNS;IPsec;IPsec protocols often perform integrity checks on packets when they are received to ensure that they have not been changed in transit from the source to the destination. Because NAT changes values in the headers as packets pass from inside to outside, these integrity checks can fail, thus causing the packets to be dropped at the destination.;;;
46. Refer to the exhibit. Which two statements are correct based on the output as shown in the exhibit? (Choose two.);The host with the address 209.165.200.235 will respond to requests by using a source address of 209.165.200.235,The output is the result of the show ip nat translations command,Traffic with the destination address of a public web server will be sourced from the IP of 192.168.1.10.,The host with the address 209.165.200.235 will respond to requests by using a source address of 192.168.10.10.,The output is the result of the show ip nat statistics command,Explain: The output displayed in the exhibit is the result of the show ip nat translations command. Static NAT entries are always present in the NAT table, while dynamic entries will eventually time out.;A,C;;Assets/46.jpg;;
47. Refer to the exhibit. A network administrator has configured R2 for PAT. Why is the configuration incorrect?;NAT-POOL2 is bound to the wrong ACL,The ACL does not define the list of addresses to be translated.,The overload keyword should not have been applied.,The static NAT entry is missing,Explain: In the exhibit, NAT-POOL 2 is bound to ACL 100, but it should be bound to the configured ACL 1. This will cause PAT to fail.;A;;Assets/47.jpg;;
48. A small company has a web server in the office that is accessible from the Internet. The IP address 192.168.10.15 is assigned to the web server. The network administrator is configuring the router so that external clients can access the web server over the Internet. Which item is required in the NAT configuration?;an IPv4 address pool,an ACL to identify the local IPv4 address of the web server,the keyword overload for the ip nat inside source command,the ip nat inside source command to link the inside local and inside global addresses,Explain: A static NAT configuration is necessary for a web server that is accessible from the Internet. The configuration is achieved via an ip nat inside source static command under the global configuration mode. An IP address pool and an ACL are necessary when configuring dynamic NAT and PAT. The keyword overload is used to configure PAT.;D;;Assets/48.jpg;;
49. A college marketing department has a networked storage device that uses the IP address 10.18.7.5, TCP port 443 for encryption, and UDP port 4365 for video streaming. The college already uses PAT on the router that connects to the Internet. The router interface has the public IP address of 209.165.200.225/30. Which configuration would the network administrator add to allow this device to be accessed by the marketing personnel from home?;ip nat inside source static tcp 209.165.200.225 443 10.18.7.5 443,ip nat inside source static udp 209.165.200.225 4365 10.18.7.5 4365,No additional configuration is necessary,ip nat pool mktv 10.18.7.5 10.18.7.5,ip nat inside source static tcp 10.18.7.5 443 209.165.200.225 443,ip nat inside source static udp 10.18.7.5 4365 209.165.200.225 4365,ip nat outside source static 10.18.7.5 209.165.200.225,Explain: This scenario requires port forwarding because the storage device has a private address and needs to be accessible from the external network. To configure port forwarding, the ip nat inside source static command is used.;A,B;;Assets/49.jpg;;
50. Refer to the exhibit. Based on the output that is shown, what type of NAT has been implemented?;static NAT with a NAT pool,static NAT with one entry,dynamic NAT with a pool of two public IP addresses,PAT using an external interface,Explain: The output shows that there are two inside global addresses that are the same but that have different port numbers. The only time port numbers are displayed is when PAT is being used. The same output would be indicative of PAT that uses an address pool. PAT with an address pool is appropriate when more than 4,000 simultaneous translations are needed by the company.;D;;Assets/50.jpg;;
51. Refer to the exhibit. An administrator is trying to configure PAT on R1, but PC-A is unable to access the Internet. The administrator tries to ping a server on the Internet from PC-A and collects the debugs that are shown in the exhibit. Based on this output, what is most likely the cause of the problem?;The inside and outside NAT interlaces have been configured backwards,The inside global address is not on the same subnet as the ISP,The address on Fa0/0 should be 64.100.0.1.,The NAT source access list matches the wrong address range.,Explain: The output of debug ip nat shows each packet that is translated by the router. The “s” is the source IP address of the packet and the “d” is the destination. The address after the arrow (“->”) shows the translated address. In this case, the translated address is on the 209.165.201.0 subnet but the ISP facing interface is in the 209.165.200.224/27 subnet. The ISP may drop the incoming packets, or might be unable to route the return packets back to the host because the address is in an unknown subnet.;B;;Assets/51.jpg;;
52. A network engineer is interested in obtaining specific information relevant to the operation of both distribution and access layer Cisco devices. Which command provides common information relevant to both types of devices?;show port-security,show ip interface,show ip protocols,show mac-address-table,show cdp neighbors,Explain: In this case the show cdp neigbors command is the only command that will provide information relevant to both distribution and access layer devices. The show mac-address-table and show port-security commands will display information that is more related to access layer operations. The show ip protocols and show ip interface commands will display information more related to routing and network layer functions performed by devices in the distribution layer.;E;;Assets/52.jpg;;
53. Which two statements are correct if a configured NTP master on a network cannot reach any clock with a lower stratum number? (Choose two.);The NTP master will claim to be synchronized at the configured stratum number.,An NTP server with a higher stratum number will become the master.,Other systems will be willing to synchronize to that master using NTP.,The NTP master will be the clock with 1 as its stratum number.,The NTP master will lower its stratum number.,Explain: If the network NTP master cannot reach any clock with a lower stratum number, the system will claim to be synchronized at the configured stratum number, and other systems will be willing to synchronize to it using NTP.;A,C;;Assets/53.jpg;;
54. What are three functions provided by the syslog service? (Choose three.);to specify the destinations of captured messages,to periodically poll agents for data,to select the type of logging information that is captured,to gather logging information for monitoring and troubleshooting,to provide traffic analysis,to provide statistics on packets that are flowing through a Cisco device,Explain: There are three primary functions provided by the syslog service: 1. gathering logging information 2. selection of the type of information to be logged selection of the destination of the logged information;A,C,D;;Assets/54.jpg;;
55. Refer to the exhibit. Which three hosts will receive ARP requests from host A, assuming that port Fa0/4 on both switches is configured to carry traffic for multiple VLANs? (Choose three.);host B,host C,host D,host E,host F,host G,Explain: ARP requests are sent out as broadcasts. That means the ARP request is sent only throughout a specific VLAN. VLAN 1 hosts will only hear ARP requests from hosts on VLAN 1. VLAN 2 hosts will only hear ARP requests from hosts on VLAN 2.;B,D,F;;Assets/55.jpg;;
56. Refer to the exhibit. An administrator is examining the message in a syslog server. What can be determined from the message?;This is an error message that indicates the system is unusable.,This is an alert message for which immediate action is needed,This is an error message for which warning conditions exist,This is a notification message for a normal but significant condition,Explain: The number 5 in the message output %SYS-5-CONFIG_I, indicated this is a notification level message that is for normal but significant conditions.;D;;Assets/56.jpg;;
57. When a customer purchases a Cisco IOS 15.0 software package, what serves as the receipt for that customer and is used to obtain the license as well?;Software Claim Certificate,Unique Device Identifier,End User License Agreement,Product Activation Key;D;A customer who purchases a software package will receive a Product Activation Key (PAK) that serves as a receipt and is used to obtain the license for the software package.;;;
59. Which configuration would be appropriate for a small business that has the public IP address of 209.165.200.225/30 assigned to the external interface on the router that connects to the Internet?;access-list 1 permit 10.0.0.0 0.255.255.255 ip nat inside source list 1 interface serial 0/0/0 overload,access-list 1 permit 10.0.0.0 0.255.255.255 ip nat pool comp 192.168.2.1 192.168.2.8 netmask 255.255.255.240 ip nat inside source list 1 pool comp,access-list 1 permit 10.0.0.0 0.255.255.255 ip nat pool comp 192.168.2.1 192.168.2.8 netmask 255.255.255.240 ip nat inside source list 1 pool comp overload,access-list 1 permit 10.0.0.0 0.255.255.255 ip nat pool comp 192.168.2.1 192.168.2.8 netmask 255.255.255.240 ip nat inside source list 1 pool comp overload ip nat inside source static 10.0.0.5 209.165.200.225;access-list 1 permit 10.0.0.0 0.255.255.255 ip nat inside source list 1 interface serial 0/0/0 overload;With the command, ip nat inside source list 1 interface serial 0/0/0 overload, the router is configured to translate internal private IP addresses in the range of 10.0.0.0/8 to a single public IP address, 209.165.200.225/30. The other options will not work, because the IP addresses defined in the pool, 192.168.2.0/28, are not routable on the Internet.;;;
63. Refer to the exhibit. Host A has sent a packet to host B. What will be the source MAC and IP addresses on the packet when it arrives at host B?;;;As a packet traverses the network, the Layer 2 addresses will change at every hop as the packet is de-encapsulated and re-encapsulated, but the Layer 3 addresses will remain the same.;;;
64. What benefit does NAT64 provide?;;;NAT64 is a temporary IPv6 transition strategy that allows sites to use IPv6 addresses and still be able to connect to IPv4 networks. This is accomplished by translating the IPv6 addresses into IPv4 addresses before sending the packets onto the IPv4 network.;;;
65. What is the effect of configuring the ipv6 unicast-routing command on a router?;;;When the ipv6 unicast-routing command is implemented on a router, it enables the router as an IPv6 router. Use of this command also assigns the router to the all-routers multicast group.;;;
66. What is a characteristic of a static route that creates a gateway of last resort?;;;A default static route is a route that matches all packets. It identifies the gateway IP address to which the router sends all IP packets for which it does not have a learned or static route. Configuring a default static route creates a gateway of last resort.;;;
